no,name,class,gender,rarity,pitch,pace,signature,description
1,Sunstrike,Genki & Sunshine,Feminine,5,High,Dash,yes,"Teenage girl. A human firecracker who treats every day like a festival and every stranger like a future best friend. The voice is a bright, airy high register, carried on rapid-fire, excitable delivery. Giggles mid-sentence and restarts with double the energy. Underneath the noise, there is warmth that sneaks up on you."
2,Sunstrike · Sunbeam Lilt,Genki & Sunshine,Feminine,3,High,Lilt,no,"Teenage girl. A human firecracker who treats every day like a festival and every stranger like a future best friend. The voice is a bright, airy high register, carried on a bouncy, sing-song lilt. Trails off mid-thought, then blurts the punchline. A quiet current of menace runs beneath the polish."
3,Sunstrike · Sunbeam Burst,Genki & Sunshine,Feminine,4,High,Burst,no,"Teenage girl. A human firecracker who treats every day like a festival and every stranger like a future best friend. The voice is a bright, airy high register, carried on explosive, hard-hitting bursts. Carries an audible smile through half the lines. Zero malice — just pure, uncomplicated joy."
4,Sunstrike · Honey Dash,Genki & Sunshine,Feminine,4,Mid,Dash,no,"Teenage girl. A human firecracker who treats every day like a festival and every stranger like a future best friend. The voice is a warm, honeyed mid register, carried on rapid-fire, excitable delivery. Giggles mid-sentence and restarts with double the energy. Old grief pressed flat beneath the calm."
5,Sunstrike · Honey Lilt,Genki & Sunshine,Feminine,3,Mid,Lilt,no,"Teenage girl. A human firecracker who treats every day like a festival and every stranger like a future best friend. The voice is a warm, honeyed mid register, carried on a bouncy, sing-song lilt. Trails off mid-thought, then blurts the punchline. Curiosity always wins over caution."
6,Sunstrike · Honey Burst,Genki & Sunshine,Feminine,4,Mid,Burst,no,"Teenage girl. A human firecracker who treats every day like a festival and every stranger like a future best friend. The voice is a warm, honeyed mid register, carried on explosive, hard-hitting bursts. Carries an audible smile through half the lines. The patience of someone who has waited centuries."
7,Sunstrike · Bell Dash,Genki & Sunshine,Feminine,4,High,Dash,no,"Teenage girl. A human firecracker who treats every day like a festival and every stranger like a future best friend. The voice is a rich, bell-like register, carried on rapid-fire, excitable delivery. Giggles mid-sentence and restarts with double the energy. A temper banked like coals — not out, never out."
8,Sunstrike · Bell Lilt,Genki & Sunshine,Feminine,3,High,Lilt,no,"Teenage girl. A human firecracker who treats every day like a festival and every stranger like a future best friend. The voice is a rich, bell-like register, carried on a bouncy, sing-song lilt. Trails off mid-thought, then blurts the punchline. Kindness delivered like a favor you cannot refuse."
9,Festival Rush,Genki & Sunshine,Feminine,5,High,Dash,yes,"Young woman. A hyper-caffeinated event host who narrates her own life like it's breaking news. The voice is a bright, airy high register, carried on rapid-fire, excitable delivery. Giggles mid-sentence and restarts with double the energy. A quiet current of menace runs beneath the polish."
10,Festival Rush · Honey Lilt,Genki & Sunshine,Feminine,4,Mid,Lilt,no,"Young woman. A hyper-caffeinated event host who narrates her own life like it's breaking news. The voice is a warm, honeyed mid register, carried on a bouncy, sing-song lilt. Giggles mid-sentence and restarts with double the energy. Zero malice — just pure, uncomplicated joy."
11,Festival Rush · Honey Burst,Genki & Sunshine,Feminine,4,Mid,Burst,no,"Young woman. A hyper-caffeinated event host who narrates her own life like it's breaking news. The voice is a warm, honeyed mid register, carried on explosive, hard-hitting bursts. Trails off mid-thought, then blurts the punchline. Old grief pressed flat beneath the calm."
12,Festival Rush · Bell Dash,Genki & Sunshine,Feminine,3,High,Dash,no,"Young woman. A hyper-caffeinated event host who narrates her own life like it's breaking news. The voice is a rich, bell-like register, carried on rapid-fire, excitable delivery. Carries an audible smile through half the lines. Curiosity always wins over caution."
13,Festival Rush · Bell Lilt,Genki & Sunshine,Feminine,4,High,Lilt,no,"Young woman. A hyper-caffeinated event host who narrates her own life like it's breaking news. The voice is a rich, bell-like register, carried on a bouncy, sing-song lilt. Giggles mid-sentence and restarts with double the energy. The patience of someone who has waited centuries."
14,Festival Rush · Bell Burst,Genki & Sunshine,Feminine,4,High,Burst,no,"Young woman. A hyper-caffeinated event host who narrates her own life like it's breaking news. The voice is a rich, bell-like register, carried on explosive, hard-hitting bursts. Trails off mid-thought, then blurts the punchline. A temper banked like coals — not out, never out."
15,Festival Rush · Reed Dash,Genki & Sunshine,Feminine,3,Mid,Dash,no,"Young woman. A hyper-caffeinated event host who narrates her own life like it's breaking news. The voice is a reedy, nasal register, carried on rapid-fire, excitable delivery. Carries an audible smile through half the lines. Kindness delivered like a favor you cannot refuse."
16,Festival Rush · Reed Lilt,Genki & Sunshine,Feminine,4,Mid,Lilt,no,"Young woman. A hyper-caffeinated event host who narrates her own life like it's breaking news. The voice is a reedy, nasal register, carried on a bouncy, sing-song lilt. Giggles mid-sentence and restarts with double the energy. Wonder leaks through every other line."
